id;Ability;DefensiveAbility;DivisionRank;Fitness;GKPosExperience;LMPosExperience;Nation_id;OffensiveAbility;PlayerMotivation;Name;Position;RMPosExperience;Routine;RoutineRank;STPosExperience;Team;TeamPlayerID;Image;PlayerChemistry;Age;Personlighet;Extrovert_Introvert;E_I;Sinnesfornimmelse_Intuition;S_N;Tanke_Kansla;T_K;Bedomning_Perception;B_P;Personlighetsgrupp;Personlighetsbeskrivning;langre_personlighetsbeskrivning
1;1.67652179877027;0.75329710184609;0;1.0;0.75;0.75;1;2.29200493005305;1.0;Albrieto Gassi;F;0.75;0;0.0;1.0;GC;GC1;Albrieto_Gassi.png;0.9;28;ISKP;55;I;38;S;75;K;55;P;Upptäckare;Äventyraren;Flexibel och charmig artist, alltid redo att utforska och upptäcka något nytt
2;1.25070925521152;0.810104403128911;;1.0;0.75;0.75;2;1.54444582326659;1.05;Alejandro Fuilleca;F;0.75;0;0.0;1.0;MÖS;MÖS1;Alejandro_Fuilleca.png;1.16666666666667;22;ESKB;10;E;5;S;67;K;40;B;Bevakare;Konsul;Extraordinärt omsorgsfull, social och populär. Alltid ivrig att hjälpa till
3;4.58015377603818;4.57150482127414;;1.0;0.75;1.0;3;4.58880273080223;1.0015;Alex Petri;VM;0.75;26;0.30952380952381;0.75;KÄ;KÄ1;Alex_Petri.png;0.998;26;INKB;86;I;61;N;84;K;44;B;Diplomat;Advokaten;Tyst, mystisk men ändå väldigt inspirerande och en outtrötlig idealist
4;2.50448635735938;2.31782957580878;;1.0;1.0;0.75;4;2.78447152968527;1.5;Ali Abdul;MV;0.75;25;0.297619047619048;0.75;CJ;CJ1;Ali_Abdul.png;1.264;22;INKP;65;I;91;N;63;K;100;P;Diplomat;Medlaren;Poetisk, vänlig och alturistisk. Alltid ivrig att hjälpa en god sak
5;4.59703820636295;4.32041063395899;19;0.93;0.75;0.75;5;4.78145658796559;1.3905;Ali Polly;F;0.75;6;0.0714285714285714;1.0;SSL;SSL1;Ali_Polly.png;0.92;27;ESTP;5;E;13;S;3;T;76;P;Upptäckare;Entreprenören;Smart, energisk och väldigt klarsynt. Njuter av att leva på gränsen.
6;3.53251975173484;3.17688040185416;;0.97;0.75;0.75;6;3.88815910161552;1.5;Arturo D'cruz;HM;1.0;0;0.0;0.75;TW;TW1;Arturo_D'cruz.png;1.192;23;INTP;87;I;51;N;21;T;52;P;Analytiker;Logikern;Innovativ uppfinnare med en osläkbar kunskapstörst
7;1.34961629279584;0.685156115305191;;1.0;0.75;1.0;6;2.01407647028649;1.2145;Ascencion Sala;VM;0.75;2;0.0238095238095238;0.75;CHA;CHA1;Ascencion_Sala.png;1.028;27;ISTB;72;I;6;S;9;T;4;B;Bevakare;Logistikern;Praktisk och fakta-sinnad vars pålitlighet inte kan betvivlas
8;3.79529061670704;3.53884130910814;;1.0;0.75;0.75;7;4.05173992430594;0.94;Asli Bukaro;HM;1.0;2;0.0238095238095238;0.75;KN;KN1;Asli_Bukaro.png;0.958333333333333;29;ISKB;68;I;7;S;86;K;3;B;Bevakare;Beskyddaren;Väldigt dedikerad och varm beskyddare, alltid redo att beskydda sina älskade
9;4.57468236884523;4.29310337455946;14;1.0;0.75;1.0;8;4.85626136313101;1.5;Astino Komba;VM;0.75;17;0.202380952380952;0.75;KS;KS1;Astino_Komba.png;1.078;27;ESTP;44;E;49;S;40;T;97;P;Upptäckare;Entreprenören;Smart, energisk och väldigt klarsynt. Njuter av att leva på gränsen.
10;2.84021165983343;3.39105311960711;;1.0;0.75;0.75;9;2.28937020005974;1.495;Audril Bonifácio;HM;1.0;16;0.19047619047619;0.75;SOL;SOL1;Audril_Bonifácio.png;1.36;20;ESKP;13;E;13;S;71;K;64;P;Upptäckare;Underhållaren;Spontan, energisk och entusiastisk underhållare. Livet är aldrig tråkigt omkring honom.
11;4.12244793421628;5.82581342993266;;1.0;1.0;0.75;10;1.56739969064171;0.99;Avian Jeaneur;MV;0.75;0;0.0;0.75;BM;BM1;Avian_Jeaneur.png;0.966666666666667;25;ENTP;3;E;55;N;3;T;97;P;Analytiker;Debatören;Smart, nyfiken tänkare som inte kan motstå en intellektuell utmaning
12;1.64676906731496;1.83138465491271;;1.0;1.0;0.75;11;1.36984568591834;1.0;Ayo N'gobe;MV;0.75;1;0.0119047619047619;0.75;SV;SV1;Ayo_N'gobe.png;1.01666666666667;27;ENKP;4;E;78;N;72;K;95;P;Diplomat;Aktivisten;Entusiastisk, kreativ, social och fritänkare som alltid kan hitta en andledning att le
13;3.80965776588013;3.68011424386676;;1.0;0.75;0.75;12;3.93920128789349;1.49;Baldomero Cameillaz;HM;1.0;0;0.0;0.75;HS;HS1;Baldomero_Cameillaz.png;0.991666666666667;23;ISTP;73;I;11;S;28;T;74;P;Upptäckare;Virtous;Modig och praktisk experimentör, mästare av alla typer av redskap
14;5.22804507775681;4.97359813145141;16;1.0;0.75;0.75;13;5.39767637529374;1.5;Barbento Texako;F;0.75;63;0.75;1.0;FF;FF1;Barbento_Texako.png;0.914;30;ESKP;12;E;4;S;94;K;92;P;Upptäckare;Underhållaren;Spontan, energisk och entusiastisk underhållare. Livet är aldrig tråkigt omkring honom.
15;2.22065706277554;1.33000624922224;;1.0;0.75;0.75;14;2.81442427181107;1.395;Barras Rafter;F;0.75;0;0.0;1.0;KU;KU1;Barras_Rafter.png;0.908333333333333;24;INTP;76;I;86;N;48;T;51;P;Analytiker;Logikern;Innovativ uppfinnare med en osläkbar kunskapstörst
16;4.06055356519182;3.63234840171998;;1.0;1.0;0.75;15;4.70286131039959;1.5;Bebe Käke;MV;0.75;66;0.785714285714286;0.75;TG;TG1;Bebe_Käke.png;0.952;26;ESKP;16;E;43;S;73;K;97;P;Upptäckare;Underhållaren;Spontan, energisk och entusiastisk underhållare. Livet är aldrig tråkigt omkring honom.
17;2.44540501046589;2.19631759138288;;1.0;0.75;0.75;16;2.6944924295489;1.025;Bengali Ladé;HM;1.0;0;0.0;0.75;CJ;CJ2;Bengali_Ladé.png;0.975;26;ENKB;40;E;91;N;61;K;24;B;Diplomat;Huvudpersonen;Karismatisk och inspirerande ledare med en förmåga att trollbinda sina lyssnare
18;2.68165491398388;3.61592546938004;;1.0;1.0;0.75;17;1.28024908088964;1.385;Beylon Caetano;MV;0.75;0;0.0;0.75;AF;AF1;Beylon_Caetano.png;0.991666666666667;19;ESTB;28;E;19;S;21;T;13;B;Bevakare;Verkställaren;Utmärkt administratör, oöverträffad förmåga att hantera saker och människor
19;1.94565030828137;1.04398894684049;;1.0;0.75;0.75;12;2.54675788257528;1.0;Bibo Epifanio;F;0.75;0;0.0;1.0;BI;BI1;Bibo_Epifanio.png;1.06;26;INKP;92;I;54;N;94;K;97;P;Diplomat;Medlaren;Poetisk, vänlig och alturistisk. Alltid ivrig att hjälpa en god sak
20;5.23480943509951;5.14564889650662;5;1.0;0.75;0.75;18;5.29424979416145;0.852000000000001;Bill Jameburg;F;0.75;50;0.595238095238095;1.0;PA;PA1;Bill_Jameburg.png;1.002;30;ESTB;28;E;34;S;41;T;34;B;Bevakare;Verkställaren;Utmärkt administratör, oöverträffad förmåga att hantera saker och människor
21;2.55934540887751;2.84047039550866;;1.0;0.75;0.75;19;2.27822042224636;1.5;Binas Boto;HM;1.0;14;0.166666666666667;0.75;SOL;SOL2;Binas_Boto.png;1.296;26;ESTB;34;E;48;S;46;T;36;B;Bevakare;Verkställaren;Utmärkt administratör, oöverträffad förmåga att hantera saker och människor
22;2.89054084566157;3.12987406556337;;1.0;0.75;0.75;2;2.65120762575978;1.025;Blas Mossillian;HM;1.0;0;0.0;0.75;COB;COB1;Blas_Mossillian.png;1.09166666666667;19;INTB;54;I;96;N;44;T;33;B;Analytiker;Arkitekten;Fantasifull och strategisk tänkare, med en plan för allt
23;1.37060474923357;1.29707234079929;;1.0;0.75;0.75;20;1.44413715766786;1.425;Bob Johansson;HM;1.0;1;0.0119047619047619;0.75;MÖS;MÖS2;Bob_Johansson.png;1.3;31;ISKP;59;I;45;S;79;K;99;P;Upptäckare;Äventyraren;Flexibel och charmig artist, alltid redo att utforska och upptäcka något nytt
